Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.249,0,0.249,0.249,0.999364
EDU11   ,0.4093,0,0.4093,0.34682,0.99849
EDZ11   ,0.50781,0,0.50781,0.40764,0.99721
EDH12   ,0.53568,0,0.53568,0.44483,0.995861
EDM12   ,0.59292,0,0.59292,0.47872,0.994371
EDU12   ,0.69956,0,0.69956,0.51876,0.992616
EDZ12   ,0.87059,0,0.87059,0.5717,0.990436
2 YR,0.655,0,0.655,0.65587,0.986972
3 YR,0.984,0,0.984,0.98827,0.970858
4 YR,1.3915,0,1.3915,1.40491,0.945539
5 YR,1.793,0,1.793,1.82208,0.913299
6 YR,2.1451,0,2.1451,2.19451,0.877258
7 YR,2.439,0,2.439,2.51093,0.839617
8 YR,2.67725,0,2.67725,2.77178,0.802281
9 YR,2.874,0,2.874,2.99063,0.765548
10 YR,3.04,0,3.04,3.17818,0.729556
11 YR,3.179,0,3.179,3.33744,0.694829
12 YR,3.296,0,3.296,3.47323,0.661523
15 YR,3.548,0,3.548,3.77149,0.570949
20 YR,3.739,0,3.739,3.99185,0.453615
25 YR,3.8315,0,3.8315,4.09347,0.363115
30 YR,3.8815,0,3.8815,4.14317,0.292186
40 YR,3.896,0,3.896,4.10454,0.196873
50 YR,3.856,0,3.856,3.9524,0.141292
