   ,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.43167,0,0.43167,0.43167,0.998898
EDZ11   ,0.51461,0,0.51461,0.48982,0.998126
EDH12   ,0.57342,0,0.57342,0.52782,0.996682
EDM12   ,0.57668,0,0.57668,0.54535,0.995231
EDU12   ,0.57438,0,0.57438,0.55329,0.993788
EDZ12   ,0.57654,0,0.57654,0.55762,0.992342
EDH13   ,0.57317,0,0.57317,0.56201,0.990906
2 YR,0.583,0,0.583,0.58315,0.988405
3 YR,0.715,0,0.715,0.71612,0.978783
4 YR,0.95975,0,0.95975,0.96454,0.962243
5 YR,1.2395,0,1.2395,1.25168,0.939517
6 YR,1.50095,0,1.50095,1.52363,0.912953
7 YR,1.725,0,1.725,1.7598,0.88449
8 YR,1.8995,0,1.8995,1.94579,0.856446
9 YR,2.0442,0,2.0442,2.10171,0.828477
10 YR,2.167,0,2.167,2.23547,0.80067
11 YR,2.2725,0,2.2725,2.35164,0.773236
12 YR,2.3614,0,2.3614,2.45036,0.746577
15 YR,2.5462,0,2.5462,2.65747,0.67301
20 YR,2.6785,0,2.6785,2.80055,0.57337
25 YR,2.742,0,2.742,2.86552,0.491007
30 YR,2.77875,0,2.77875,2.90125,0.421387
40 YR,2.789,0,2.789,2.88659,0.317784
50 YR,2.757,0,2.757,2.8037,0.248549
