Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,36.08,42.5,39.35,37.5,36.25,34.05,32.15,30.7,29.2,27.55,26.6,25.2,23.75,23.1,22.3
3Mo,36.85,39.88,37.7,36,34.38,32.8,31.1,29.15,28.3,26.7,24.9,23.5,22.2,22,21.7
6Mo,38.7,37.2,35.05,33.55,32.35,30.55,29.15,28,26.9,25.5,24.43,22.9,21.55,21.4,21.1
9Mo,38.25,35.9,34.05,32.55,31.25,29.85,28.25,27.05,26.3,25.02,23.98,22.45,21.55,21.45,20.9
1Yr,37.8,34.6,32.55,31.23,30.02,28.9,27.43,26.7,24.35,24.45,23.2,21.2,21.2,20.55,20.7
2Yr,29.75,28.95,27.95,26.95,26.05,25.5,24.32,23.75,23.2,22.33,21.45,20.5,19.75,19.7,19.2
3Yr,26.65,26.05,25.2,24.35,23.8,23.5,22.55,22.3,21.7,21.15,20.4,19.85,19.05,19.05,18.5
4Yr,24.6,23.95,23.1,22.65,22.05,21.6,21.15,20.9,20.5,19.88,19.45,18.4,18.4,18.1,17.65
5Yr,22.13,21.6,21.18,20.8,20.45,20.13,19.85,19.6,19.4,18.82,18.35,17.6,17.35,17.2,16.88
6Yr,20.8,20.05,20,19.75,19.4,19.15,18.75,18.7,18.35,18,17.5,16.8,16.55,16.4,16.15
7Yr,19.83,19.45,19.1,18.85,18.65,18.45,18.15,18.1,17.7,17.35,17,16.4,15.92,15.9,15.8
8Yr,18.35,18,17.95,17.75,17.5,17.3,17.1,16.95,16.8,16.55,16.3,15.95,15.7,15.25,15.05
9Yr,17.4,17.15,17.05,16.9,16.7,16.45,16.45,16.2,16.1,15.9,15.75,15.55,15.3,14.9,14.55
10Yr,17,16.55,16.48,16.45,16.3,16.1,16.05,15.85,15.65,15.35,15.35,14.7,14.25,14.25,13.98
15Yr,15.55,15,15,15,15,14.9,14.7,14.6,14.65,14.5,14.05,13.4,13.1,13.1,13.15
20Yr,14.4,14.45,14.5,14.1,14.15,14.4,14.2,13.7,13.9,13.4,13.15,12.8,12.5,12.6,12.1
25Yr,13.9,13.9,13.9,13.9,13.35,13.7,13,13.5,12.7,13.2,12.6,11.7,12,11.3,11.15
30Yr,12.8,13.7,13.7,12.55,13.6,12.35,12.15,12.1,11.95,11.8,11.5,11.15,11,10.85,10.65
