Date,Swap Value,Swaption Value
20080701,9.07979,42.1707
20080702,9.34864,42.2472
20080703,12.4182,43.9225
20080704,12.1312,43.5397
20080705,12.1344,43.5381
20080706,12.1376,43.5275
20080707,10.8609,42.7804
20080708,8.40715,41.7398
20080709,6.62081,41.1624
20080710,6.06136,40.9966
20080711,8.98422,42.7192
20080712,8.9861,42.7166
20080713,8.98798,42.7053
20080714,5.26108,40.7948
20080715,6.12445,41.1596
20080716,11.3919,42.9479
20080717,13.9999,44.1974
20080718,15.5507,44.4352
20080719,15.5555,44.4331
20080720,15.5603,44.4237
20080721,14.2386,44.0605
20080722,12.1079,42.5135
20080723,12.0327,42.1118
20080724,10.4474,41.69
20080725,13.8511,43.0092
20080726,13.8544,43.0072
20080727,13.8576,42.9987
20080728,11.8003,42.2304
20080729,12.2124,42.2271
20080730,12.366,42.0366
20080731,11.7187,41.7905
20080801,11.9482,41.3925
20080802,11.9509,41.3892
20080803,11.9537,41.3786
20080804,12.6823,41.9817
20080805,15.0181,42.8501
20080806,16.3886,43.6234
20080807,13.2651,41.8874
20080808,10.5984,40.542
20080809,10.6008,40.539
20080810,10.6033,40.5295
20080811,13.534,41.7314
20080812,10.9847,40.6753
20080813,10.7326,40.5463
20080814,9.67215,40.3758
20080815,8.20235,39.4736
20080816,8.20307,39.4657
20080817,8.20379,39.4579
20080818,7.11205,39.1751
20080819,7.89564,39.8925
20080820,5.97581,39.9227
20080821,6.33027,40.3794
20080822,6.41022,40.1163
20080823,6.4129,40.1136
20080824,6.41558,40.1038
20080825,4.19943,39.2585
20080826,2.54944,38.6418
20080827,2.85824,38.414
20080828,2.01197,38.0102
20080829,2.79727,38.5466
20080830,2.79879,38.533
20080831,2.8003,38.5222
20080901,3.10654,38.3
20080902,2.27416,38.2298
20080903,0.450429,37.617
20080904,-2.33585,37.1261
20080905,-1.47721,37.1266
20080906,-1.47755,37.1208
20080907,-1.47789,37.109
20080908,-5.08359,35.1427
20080909,-8.05855,33.557
20080910,-6.05357,34.7601
20080911,-7.68759,34.2497
20080912,-0.62432,36.684
20080913,-0.624491,36.6782
20080914,-0.624663,36.6668
20080915,-0.624835,36.6726
20080916,-0.625006,41.8553
20080917,-9.05081,35.3746
20080918,-4.11323,39.2178
20080919,0.18572,38.4508
20080920,0.186561,38.4447
20080921,0.187402,38.4338
20080922,2.60794,38.3062
20080923,0.903233,37.442
20080924,1.99794,39.493
20080925,1.51171,38.9552
20080926,-0.913706,37.7939
20080927,-0.911287,37.7912
20080928,-0.908868,37.7808
20080929,-10.6191,35.5435
20080930,-1.80546,40.4569
20081001,-5.24423,39.0357
20081002,-4.44634,39.0019
20081003,-8.30944,37.414
20081004,-8.30661,37.4084
20081005,-8.30378,37.3975
20081006,-12.424,38.713
20081007,-9.43365,39.9126
20081008,-15.1166,38.3519
20081009,-10.959,42.3119
20081010,-9.01411,44.7403
20081011,-8.9977,44.7444
20081012,-8.98129,44.7361
20081013,-8.65313,45.6117
20081014,-1.63223,43.4751
20081015,-4.29439,42.2943
20081016,-3.20836,42.8375
20081017,-1.51288,43.3753
20081018,-1.50057,43.3786
20081019,-1.48825,43.3714
20081020,-10.1619,39.0853
20081021,-15.5508,35.5798
20081022,-22.1469,34.4703
20081023,-21.5814,36.271
20081024,-20.5457,35.2484
20081025,-20.5329,35.248
20081026,-20.5202,35.2407
20081027,-21.8563,32.5597
20081028,-12.0133,36.0306
20081029,-11.9942,34.9058
20081030,-4.57682,37.7987
20081031,-1.88513,37.708
20081101,-1.86578,37.7034
20081102,-1.84642,37.7023
20081103,-1.62522,39.2785
20081104,-11.2561,35.3806
20081105,-15.6408,37.56
20081106,-14.7592,35.2217
20081107,-11.2353,37.2268
20081108,-11.2215,37.229
20081109,-11.2076,37.2236
20081110,-9.98832,37.8935
20081111,-9.98853,39.0147
20081112,-8.92757,37.6609
20081113,-8.91249,37.1824
20081114,-15.2254,37.9261
20081115,-15.2086,37.9297
20081116,-15.1918,37.923
20081117,-19.7238,37.0419
20081118,-28.1669,36.8462
20081119,-41.0569,34.6384
20081120,-78.2222,27.3503
20081121,-60.3554,24.74
20081122,-60.345,24.7273
20081123,-60.3345,24.7184
20081124,-56.4218,15.3989
20081125,-69.8093,23.0684
20081126,-73.2387,18.9016
20081127,-65.6132,21.8417
20081128,-75.8736,20.4419
20081129,-75.8657,20.4442
20081130,-75.8578,20.4352
20081201,-85.382,17.5505
20081202,-86.4903,14.9777
20081203,-82.9891,13.3827
20081204,-87.2592,16.1063
20081205,-82.6585,17.468
20081206,-82.6519,17.4626
20081207,-82.6454,17.4513
20081208,-82.8637,18.328
20081209,-84.5484,17.2
20081210,-83.1904,19.9299
20081211,-86.987,19.121
20081212,-87.4065,18.8302
20081213,-87.4056,18.8228
20081214,-87.4048,18.8109
20081215,-87.4039,18.5337
20081216,-116.316,6.38977
20081217,-107.549,9.70086
20081218,-110.155,9.2099
20081219,-105.402,10.3305
20081220,-105.413,10.3227
20081221,-105.423,10.3074
20081222,-97.8795,10.2828
20081223,-93.2134,12.7061
20081224,-89.6757,13.6459
20081225,-93.2216,12.2158
20081226,-94.7189,11.9623
20081227,-94.7331,11.9525
20081228,-94.7472,11.9377
20081229,-92.547,12.1232
20081230,-95.3195,12.6599
20081231,-90.2122,13.5453
