Date,Swap Value,Swaption Value,Swap PnL,Swaption PnL,Hedged PnL,Unhedged Value,Hedged Value
20110701,-1.22534,46.521,,,,,
20110702,-1.23062,46.5089,-0.00528,-0.0121,-0.00946,-0.0121,-0.00946
20110703,-1.23487,46.5234,-0.00425,0.0145,0.016625,0.0024,0.007165
20110704,-1.39275,46.2425,-0.15788,-0.2809,-0.20196,-0.2785,-0.194795
20110705,-2.15088,46.5833,-0.75813,0.3408,0.719865,0.0623,0.52507
20110706,-1.62619,46.779,0.52469,0.1957,-0.066645,0.258,0.458425
20110707,-1.8032,46.7561,-0.17701,-0.0229,0.065605,0.2351,0.52403
20110708,-4.60446,45.6687,-2.80126,-1.0874,0.31323,-0.8523,0.83726
20110709,-4.61079,45.6563,-0.00633,-0.0124,-0.009235,-0.8647,0.828025
20110710,-4.61703,45.6704,-0.00624,0.0141,0.01722,-0.8506,0.845245
20110711,-9.39518,44.2359,-4.77815,-1.4345,0.954575,-2.2851,1.79982
20110712,-12.148,43.2911,-2.75282,-0.9448,0.43161,-3.2299,2.23143
20110713,-11.8729,43.5001,0.2751,0.209,0.07145,-3.0209,2.30288
20110714,-8.25709,45.5991,3.61581,2.099,0.291095,-0.9219,2.593975
20110715,-10.1327,44.9295,-1.87561,-0.6696,0.268205,-1.5915,2.86218
20110716,-10.1422,44.9145,-0.0095,-0.015,-0.01025,-1.6065,2.85193
20110717,-10.1517,44.9256,-0.0095,0.0111,0.01585,-1.5954,2.86778
20110718,-9.31048,46.7432,0.84122,1.8176,1.39699,0.2222,4.26477
20110719,-11.9297,47.0244,-2.61922,0.2812,1.59081,0.5034,5.85558
20110720,-9.75529,45.1718,2.17441,-1.8526,-2.939805,-1.3492,2.915775
20110721,-6.39906,46.1441,3.35623,0.9723,-0.705815,-0.3769,2.20996
20110722,-9.0591,45.195,-2.66004,-0.9491,0.38092,-1.326,2.59088
20110723,-9.06778,45.1801,-0.00868,-0.0149,-0.01056,-1.3409,2.58032
20110724,-9.07646,45.1905,-0.00868,0.0104,0.01474,-1.3305,2.59506
20110725,-6.16701,46.1356,2.90945,0.9451,-0.509625,-0.3854,2.085435
20110726,-7.94635,45.5434,-1.77934,-0.5922,0.29747,-0.9776,2.382905
20110727,-7.45848,45.7398,0.48787,0.1964,-0.047535,-0.7812,2.33537
20110728,-8.57028,45.1393,-1.1118,-0.6005,-0.0446,-1.3817,2.29077
20110729,-14.1073,43.6649,-5.53702,-1.4744,1.29411,-2.8561,3.58488
20110730,-14.1168,43.6601,-0.0095,-0.0048,-5E-05,-2.8609,3.58483
20110731,-14.1263,43.6632,-0.0095,0.0031,0.00785,-2.8578,3.59268
20110801,-17.5452,42.2516,-3.4189,-1.4116,0.29785,-4.2694,3.89053
20110802,-26.819,38.6877,-9.2738,-3.5639,1.073,-7.8333,4.96353
20110803,-27.5355,38.6501,-0.7165,-0.0376,0.32065,-7.8709,5.28418
20110804,-38.4166,33.9295,-10.8811,-4.7206,0.71995,-12.5915,6.00413
20110805,-30.0668,36.657,8.3498,2.7275,-1.4474,-9.864,4.55673
20110806,-30.0798,36.6379,-0.013,-0.0191,-0.0126,-9.8831,4.54413
20110807,-30.0927,36.6458,-0.0129,0.0079,0.01435,-9.8752,4.55848
20110808,-43.1406,33.2065,-13.0479,-3.4393,3.08465,-13.3145,7.64313
20110809,-44.8941,30.7386,-1.7535,-2.4679,-1.59115,-15.7824,6.05198
20110810,-54.8687,28.4532,-9.9746,-2.2854,2.7019,-18.0678,8.75388
20110811,-38.8209,33.1356,16.0478,4.6824,-3.3415,-13.3854,5.41238
20110812,-44.4412,31.9096,-5.6203,-1.226,1.58415,-14.6114,6.99653
20110813,-44.459,31.8896,-0.0178,-0.02,-0.0111,-14.6314,6.98543
20110814,-44.4757,31.8952,-0.0167,0.0056,0.01395,-14.6258,6.99938
20110815,-41.8699,31.9073,2.6058,0.0121,-1.2908,-14.6137,5.70858
20110816,-49.3322,29.4434,-7.4623,-2.4639,1.26725,-17.0776,6.97583
20110817,-56.0156,27.4312,-6.6834,-2.0122,1.3295,-19.0898,8.30533
20110818,-65.7255,25.1698,-9.7099,-2.2614,2.59355,-21.3512,10.89888
20110819,-66.6487,24.5519,-0.9232,-0.6179,-0.1563,-21.9691,10.74258
20110820,-66.6692,24.53,-0.0205,-0.0219,-0.01165,-21.991,10.73093
20110821,-66.6896,24.5318,-0.0204,0.0018,0.012,-21.9892,10.74293
20110822,-63.6946,25.9373,2.995,1.4055,-0.092,-20.5837,10.65093
20110823,-60.337,26.5777,3.3576,0.6404,-1.0384,-19.9433,9.61253
20110824,-47.4295,30.3368,12.9075,3.7591,-2.69465,-16.1842,6.91788
20110825,-50.7461,29.2474,-3.3166,-1.0894,0.5689,-17.2736,7.48678
20110826,-53.9649,28.5561,-3.2188,-0.6913,0.9181,-17.9649,8.40488
20110827,-53.9806,28.5331,-0.0157,-0.023,-0.01515,-17.9879,8.38973
20110828,-53.9963,28.5389,-0.0157,0.0058,0.01365,-17.9821,8.40338
20110829,-50.592,29.0896,3.4043,0.5507,-1.15145,-17.4314,7.25193
20110830,-54.5685,27.9158,-3.9765,-1.1738,0.81445,-18.6052,8.06638
20110831,-49.7643,29.4639,4.8042,1.5481,-0.854,-17.0571,7.21238
20110901,-55.1718,27.7694,-5.4075,-1.6945,1.00925,-18.7516,8.22163
20110902,-67.5233,24.1508,-12.3515,-3.6186,2.55715,-22.3702,10.77878
20110903,-67.5428,24.1304,-0.0195,-0.0204,-0.01065,-22.3906,10.76813
20110904,-67.5623,24.1339,-0.0195,0.0035,0.01325,-22.3871,10.78138
20110905,-67.3205,24.6447,0.2418,0.5108,0.3899,-21.8763,11.17128
20110906,-69.2041,24.5487,-1.8836,-0.096,0.8458,-21.9723,12.01708
20110907,-64.1576,25.581,5.0465,1.0323,-1.49095,-20.94,10.52613
20110908,-69.105,24.2086,-4.9474,-1.3724,1.1013,-22.3124,11.62743
20110909,-71.2413,23.7625,-2.1363,-0.4461,0.62205,-22.7585,12.24948
20110910,-71.2613,23.7416,-0.02,-0.0209,-0.0109,-22.7794,12.23858
20110911,-71.2812,23.7455,-0.0199,0.0039,0.01385,-22.7755,12.25243
20110912,-71.4317,23.6523,-0.1505,-0.0932,-0.01795,-22.8687,12.23448
20110913,-67.8073,24.2682,3.6244,0.6159,-1.1963,-22.2528,11.03818
20110914,-70.0054,24.114,-2.1981,-0.1542,0.94485,-22.407,11.98303
20110915,-64.0205,25.4029,5.9849,1.2889,-1.70355,-21.1181,10.27948
20110916,-66.4497,24.8855,-2.4292,-0.5174,0.6972,-21.6355,10.97668
20110917,-66.4671,24.8685,-0.0174,-0.017,-0.0083,-21.6525,10.96838
20110918,-66.4846,24.8735,-0.0175,0.005,0.01375,-21.6475,10.98213
20110919,-66.502,26.4812,-0.0174,1.6077,1.6164,-20.0398,12.59853
20110920,-73.2426,23.4669,-6.7406,-3.0143,0.356,-23.0541,12.95453
20110921,-82.2874,21.4962,-9.0448,-1.9707,2.5517,-25.0248,15.50623
20110922,-98.3515,18.3999,-16.0641,-3.0963,4.93575,-28.1211,20.44198
20110923,-91.1393,19.0876,7.2122,0.6877,-2.9184,-27.4334,17.52358
20110924,-91.1558,19.0637,-0.0165,-0.0239,-0.01565,-27.4573,17.50793
20110925,-91.1723,19.0672,-0.0165,0.0035,0.01175,-27.4538,17.51968
20110926,-84.7019,21.3528,6.4704,2.2856,-0.9496,-25.1682,16.57008
20110927,-79.9549,21.2949,4.747,-0.0579,-2.4314,-25.2261,14.13868
20110928,-80.1275,21.0797,-0.1726,-0.2152,-0.1289,-25.4413,14.00978
20110929,-80.5237,20.9145,-0.3962,-0.1652,0.0329,-25.6065,14.04268
20110930,-88.2578,18.6979,-7.7341,-2.2166,1.65045,-27.8231,15.69313
20111001,-88.2712,18.6789,-0.0134,-0.019,-0.0123,-27.8421,15.68083
20111002,-88.2846,18.6845,-0.0134,0.0056,0.0123,-27.8365,15.69313
20111003,-100.322,15.3422,-12.0374,-3.3423,2.6764,-31.1788,18.36953
20111004,-94.8065,17.5587,5.5155,2.2165,-0.54125,-28.9623,17.82828
20111005,-90.5528,18.2418,4.2537,0.6831,-1.44375,-28.2792,16.38453
20111006,-85.1294,19.328,5.4234,1.0862,-1.6255,-27.193,14.75903
20111007,-81.2994,19.9877,3.83,0.6597,-1.2553,-26.5333,13.50373
20111008,-81.3099,19.9757,-0.0105,-0.012,-0.00675,-26.5453,13.49698
20111009,-81.3203,19.9835,-0.0104,0.0078,0.013,-26.5375,13.50998
20111010,-81.7777,19.6203,-0.4574,-0.3632,-0.1345,-26.9007,13.37548
20111011,-76.6609,20.8233,5.1168,1.203,-1.3554,-25.6977,12.02008
20111012,-71.5779,22.686,5.083,1.8627,-0.6788,-23.835,11.34128
20111013,-72.052,22.732,-0.4741,0.046,0.28305,-23.789,11.62433
20111014,-64.7873,24.4782,7.2647,1.7462,-1.88615,-22.0428,9.73818
20111015,-64.7955,24.4624,-0.0082,-0.0158,-0.0117,-22.0586,9.72648
20111016,-64.8038,24.4706,-0.0083,0.0082,0.01235,-22.0504,9.73883
20111017,-71.5654,23.108,-6.7616,-1.3626,2.0182,-23.413,11.75703
20111018,-68.9819,24.233,2.5835,1.125,-0.16675,-22.288,11.59028
20111019,-69.3944,24.0901,-0.4125,-0.1429,0.06335,-22.4309,11.65363
20111020,-67.1564,24.1348,2.238,0.0447,-1.0743,-22.3862,10.57933
20111021,-63.8196,24.9621,3.3368,0.8273,-0.8411,-21.5589,9.73823
