Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
3 MO,0.24575,0,0.24575,0.24575,0.999372
EDU11   ,0.3392,0,0.3392,0.30153,0.998612
EDZ11   ,0.42766,0,0.42766,0.34762,0.997533
EDH12   ,0.5055,0,0.5055,0.39135,0.99626
EDM12   ,0.64273,0,0.64273,0.44595,0.994644
EDU12   ,0.85436,0,0.85436,0.51782,0.992501
EDZ12   ,1.11038,0,1.11038,0.60562,0.989723
2 YR,0.719,0,0.719,0.72045,0.98572
3 YR,1.16625,0,1.16625,1.17329,0.96545
4 YR,1.624,0,1.624,1.6431,0.936598
5 YR,2.0505,0,2.0505,2.0885,0.90133
6 YR,2.412,0,2.412,2.47303,0.862887
7 YR,2.7085,0,2.7085,2.79421,0.82346
8 YR,2.947,0,2.947,3.05685,0.784508
9 YR,3.1415,0,3.1415,3.27437,0.746472
10 YR,3.303,0,3.303,3.45777,0.709697
11 YR,3.438,0,3.438,3.6133,0.674411
12 YR,3.5513,0,3.5513,3.74543,0.640635
15 YR,3.79,0,3.79,4.02825,0.549721
20 YR,3.9675,0,3.9675,4.23051,0.432787
25 YR,4.053,0,4.053,4.32211,0.343264
30 YR,4.098,0,4.098,4.36392,0.273871
40 YR,4.114,0,4.114,4.32795,0.180376
50 YR,4.073,0,4.073,4.165,0.127312
