Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,108.7,67.3,62.5,51.9,46.27,39.58,35.38,32.8,30.75,29.2,27.6,25.2,23.52,22.98,22.3
3Mo,83.72,65.2,60.5,52.08,46.05,40.25,36.15,33.58,31.75,30.2,30.15,26.5,24.75,24.5,23.65
6Mo,76.5,64.63,57.08,48.98,43.88,38.67,35.1,33.1,31.55,30.1,30.13,26.35,24.9,24.48,24.02
9Mo,75.45,62.48,53.48,45.3,41,36.7,34.03,32.3,30.9,29.6,28.15,26,24.73,24.45,23.73
1Yr,71.9,59.8,50,42.8,38.78,35.3,32.97,31.55,30.48,29.15,28.38,25.68,24.58,24.25,23.98
2Yr,54.42,44.75,38.35,34.53,32.15,30.33,28.88,28.1,27.3,26.43,25.45,23.95,22.98,22.95,22.77
3Yr,38.08,33.58,30.75,29,27.83,26.88,25.95,25.77,25.2,24.48,25.1,22.6,21.88,21.88,21.73
4Yr,29.65,27.88,26.55,25.73,25,24.42,23.85,23.75,23.48,22.88,22.27,21.35,20.7,20.75,20.3
5Yr,25.8,25.2,24.55,23.7,23.3,22.85,22.42,22.4,22.15,21.7,21.15,20.35,19.75,19.8,19.67
6Yr,23.85,23.4,22.9,22.5,22.2,21.88,21.48,21.35,21.25,20.95,20.35,19.48,19.15,19.07,19.02
7Yr,22.5,22.27,21.7,21.25,20.8,20.8,20.4,20.55,20.5,20.08,19.57,18.77,18.33,18.5,18.4
8Yr,21.2,21.1,20.73,20.35,20.18,20.05,19.8,19.8,19.77,19.7,19,17.95,18,17.8,17.83
9Yr,20.45,20.23,20.02,19.68,19.43,19.3,19.05,19.02,19.05,19.08,18.6,17.9,17.63,17.83,17.3
10Yr,19.68,19.3,19.07,18.85,18.68,18.6,18.48,18.65,18.65,18.4,17.9,17.15,16.9,16.88,16.9
15Yr,17.4,17.3,17.2,17,16.9,16.9,16.75,16.7,16.65,16.52,15.93,15.07,14.88,14.85,14.82
20Yr,16.15,16.2,16,15.95,15.7,15.7,15.6,15.55,15.5,15.53,15.07,14.4,14.25,14.25,14.2
25Yr,15.9,15.7,15.5,15.25,14.97,14.9,15.7,15.18,14.68,14.65,14.3,13.8,13.85,13.72,13.38
30Yr,14.8,14.55,14.32,14.05,13.88,13.88,13.75,13.57,13.6,13.65,13.32,12.88,12.93,12.88,16.3
